time;flow
107,182;2,412
107,2;2,415
107,218;2,418
107,236;2,421
107,254;2,424
107,272;2,427
107,29;2,43
107,308;2,432
107,326;2,435
107,344;2,437
107,362;2,439
107,38;2,442
107,398;2,444
107,416;2,446
107,434;2,448
107,452;2,449
107,47;2,451
107,488;2,453
107,506;2,454
107,524;2,456
107,542;2,458
107,56;2,459
107,578;2,46
107,596;2,462
107,614;2,463
107,632;2,464
107,65;2,465
107,668;2,466
107,686;2,467
107,704;2,468
107,722;2,469
107,74;2,47
107,758;2,471
107,776;2,472
107,794;2,473
107,812;2,474
107,83;2,475
107,848;2,476
107,866;2,477
107,884;2,478
107,902;2,478
107,92;2,479
107,938;2,48
107,956;2,481
107,974;2,482
107,992;2,483
108,01;2,484
108,028;2,485
108,046;2,486
108,064;2,487
108,082;2,488
108,1;2,489
108,118;2,49
108,136;2,491
108,154;2,492
108,172;2,493
108,19;2,495
108,208;2,496
108,226;2,497
108,244;2,498
108,262;2,5
108,28;2,501
108,298;2,502
108,316;2,504
108,334;2,505
108,352;2,507
108,37;2,508
108,388;2,51
108,406;2,511
108,424;2,513
108,442;2,514
108,46;2,516
108,478;2,517
108,496;2,519
108,514;2,52
108,532;2,522
108,55;2,524
108,568;2,525
108,586;2,527
108,604;2,529
108,622;2,53
108,64;2,532
108,658;2,534
108,676;2,536
108,694;2,537
108,712;2,539
108,73;2,541
108,748;2,543
108,766;2,545
108,784;2,546
108,802;2,548
108,82;2,55
108,838;2,552
108,856;2,554
108,874;2,556
108,892;2,558
108,91;2,559
108,928;2,561
108,946;2,563
108,964;2,565
108,982;2,567
109;2,569
109,018;2,571
109,036;2,573
109,054;2,574
109,072;2,576
109,09;2,578
109,108;2,58
109,126;2,582
109,144;2,584
109,162;2,586
109,18;2,588
109,198;2,589
109,216;2,591
109,234;2,593
109,252;2,595
109,27;2,597
109,288;2,598
109,306;2,6
109,324;2,602
109,342;2,604
109,36;2,605
109,378;2,607
109,396;2,609
109,414;2,611
109,432;2,612
109,45;2,614
109,468;2,615
109,486;2,617
109,504;2,619
109,522;2,62
109,54;2,622
109,558;2,623
109,576;2,624
109,594;2,626
109,612;2,627
109,63;2,629
109,648;2,63
109,666;2,631
109,684;2,632
109,702;2,634
109,72;2,635
109,738;2,636
109,756;2,637
109,774;2,638
109,792;2,639
109,81;2,64
109,828;2,641
109,846;2,642
109,864;2,642
109,882;2,643
109,9;2,644
109,918;2,645
109,936;2,645
109,954;2,646
109,972;2,647
109,99;2,647
110,008;2,648
110,026;2,649
110,044;2,649
110,062;2,65
110,08;2,651
110,098;2,652
110,116;2,653
110,134;2,653
110,152;2,654
110,17;2,655
110,188;2,656
110,206;2,657
110,224;2,659
110,242;2,66
110,26;2,661
110,278;2,663
110,296;2,664
110,314;2,666
110,332;2,668
110,35;2,67
110,368;2,672
110,386;2,674
110,404;2,677
110,422;2,679
110,44;2,682
110,458;2,685
110,476;2,688
110,494;2,691
110,512;2,694
110,53;2,698
110,548;2,701
110,566;2,705
110,584;2,71
110,602;2,714
110,62;2,719
110,638;2,723
110,656;2,729
110,674;2,734
110,692;2,739
110,71;2,745
110,728;2,751
110,746;2,758
110,764;2,764
110,782;2,771
110,8;2,778
110,818;2,786
110,836;2,793
110,854;2,801
110,872;2,809
110,89;2,817
110,908;2,826
110,926;2,834
110,944;2,843
110,962;2,852
110,98;2,861
110,998;2,87
111,016;2,879
111,034;2,889
111,052;2,898
111,07;2,908
111,088;2,917
111,106;2,927
111,124;2,937
111,142;2,947
111,16;2,956
111,178;2,966
111,196;2,976
111,214;2,986
111,232;2,995
111,25;3,005
111,268;3,015
111,286;3,024
111,304;3,034
111,322;3,043
111,34;3,053
111,358;3,062
111,376;3,071
111,394;3,08
111,412;3,089
111,43;3,098
111,448;3,106
111,466;3,115
111,484;3,123
111,502;3,131
111,52;3,139
111,538;3,146
111,556;3,154
111,574;3,161
111,592;3,168
111,61;3,174
111,628;3,18
111,646;3,186
111,664;3,192
111,682;3,198
111,7;3,203
111,718;3,208
111,736;3,212
111,754;3,217
111,772;3,221
111,79;3,224
111,808;3,228
111,826;3,231
111,844;3,235
111,862;3,237
111,88;3,24
111,898;3,243
111,916;3,245
111,934;3,247
111,952;3,249
111,97;3,251
111,988;3,252
112,006;3,254
112,024;3,255
112,042;3,256
