time;flow;dimless_flow;tau;harmonic_number;cos_harmonic_values1;sin_harmonic_values1;cos_harmonic_values2;sin_harmonic_values2;approximate_err_dimless_flow;approximate_dimless_flow;correlation;vartheta;flow_probability_y;flow_probability_x;flow_density_y;critical_prob_value
0,0147;10,2;0,9532710280373832;0,0;0,0;0,845039366529433;0,0;0,7458905550380106;0,0;-0,10280961322455684;0,8504614148128263;1,000000000000022;0,0;0,0014067524115755627;0,3897508411214954;0,08634145263608087;0,95
0,0163;10,2;0,9532710280373832;0,000402010050251256;1,0;-0,06936853564938676;0,02059480437484601;-0,03656824488025199;0,0063712340845465945;-0,0938730201780521;0,8593980078593311;0,6626919685367264;0,00804020100502512;0,0020096463022508037;0,4060437383177571;0,03700347970117752;0,95
0,0179;10,2;0,9532710280373832;0,0008040201005025125;2,0;0,02163205931511844;0,021504535651908;0,00799427063709711;0,01963848107300492;-0,08507738770490159;0,8681936403324816;0,37461092849341876;0,01608040201005024;0,0022106109324758843;0,4223366355140188;0,01233449323372584;0,95
0,0195;10,2;0,9532710280373832;0,001206030150753769;3,0;-0,02927219436862957;0,02755783316596505;0,004225158971664247;0,03676643805421535;-0,07644422938734674;0,8768267986500364;0,3060153040403017;0,024120603015075362;0,002411575562700965;0,4386295327102805;0,01233449323372584;0,95
0,0211;10,2;0,9532710280373832;0,0016080402010050254;4,0;0,015469264006276604;0,012091079653477868;-0,034170601510815225;-0,004992047030494271;-0,06799509422102934;0,8852759338163538;0,2579101979294072;0,03216080402010048;0,002411575562700965;0,4549224299065422;0,0;0,95
0,0227;10,2;0,9532710280373832;0,002010050251256282;5,0;-0,02924461306179472;0,03296491046457833;-0,005644952579936487;-0,018190243279696965;-0,05975148627155502;0,8935195417658282;0,20438678639415703;0,0402010050251256;0,007435691318327975;0,4712153271028039;0,30836233084314596;0,95
0,0243;10,2;0,9532710280373832;0,0024120603015075374;6,0;-0,0019003484802483082;0,03971805112885245;-0,0159906237446967;0,03519714476096184;-0,05173478135371212;0,901536246683671;0,2197558297608411;0,048241206030150724;0,013263665594855305;0,4875082242990656;0,35770030377804923;0,95
0,0259;10,2;0,9532710280373832;0,002814070351758794;7,0;-0,023647580441340143;-0,0003669524454955581;0,01950774130292497;0,014486006535355585;-0,04396614112749231;0,9093048869098909;0,2266574197202931;0,05628140703517584;0,020096463022508036;0,5038011214953273;0,4193727699466783;0,95
0,0275;10,2;0,9532710280373832;0,0032160804020100503;8,0;0,027028863317103677;0,014952131415985934;-0,040122742577796265;0,03580842134211199;-0,036466425033368166;0,916804603004015;0,17619818443750637;0,06432160804020096;0,02190514469453376;0,520094018691589;0,11101043910353256;0,95
0,0291;10,2;0,9532710280373832;0,003618090452261307;9,0;-0,0020005501577845843;0,0032922189188967403;0,023048456715176652;0,009643129351702574;-0,029256100515159922;0,9240149275222233;0,1707719341368213;0,07236180904522609;0,026125401929260446;0,5363869158878507;0,2590243579082427;0,95
